<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLT.US,5,20251111,213000,89.9398,89.95,89.93,89.95,63106,0
TLT.US,5,20251111,213500,89.945,89.97,89.9401,89.9622,72078,0
TLT.US,5,20251111,214000,89.97,89.99,89.96,89.965,244585,0
TLT.US,5,20251111,214500,89.97,89.97,89.96,89.965,167561,0
TLT.US,5,20251111,215000,89.965,89.99,89.95,89.985,628438,0
TLT.US,5,20251111,215500,89.98,89.98,89.91,89.96,3070944,0
TLT.US,5,20251112,153000,89.95,90,89.945,89.98,384725,0
TLT.US,5,20251112,153500,89.975,89.9864,89.91,89.97,314487,0
TLT.US,5,20251112,154000,89.96,89.98,89.93,89.97593,390683,0
TLT.US,5,20251112,154500,89.97,90.0359,89.9548,90.03,290810,0
TLT.US,5,20251112,155000,90.03,90.05,90.01,90.035,309080,0
TLT.US,5,20251112,155500,90.04,90.07,90,90.005,188386,0
TLT.US,5,20251112,160000,90,90.005,89.88,89.88,263500,0
TLT.US,5,20251112,160500,89.88,89.99,89.88,89.975,366037,0
TLT.US,5,20251112,161000,89.975,90.035,89.965,90.02,145523,0
TLT.US,5,20251112,161500,90.02,90.03,89.99,90.005,140878,0
TLT.US,5,20251112,162000,90.005,90.02,89.97,90.02,174140,0
TLT.US,5,20251112,162500,90.01,90.06,90.005,90.04,279781,0
TLT.US,5,20251112,163000,90.03,90.055,90.02,90.055,212915,0
TLT.US,5,20251112,163500,90.06,90.1,90.0308,90.0381,175366,0
TLT.US,5,20251112,164000,90.035,90.07,90,90.055,499534,0
TLT.US,5,20251112,164500,90.06,90.14,90.055,90.1,212002,0
TLT.US,5,20251112,165000,90.1,90.15,90.081,90.145,126754,0
TLT.US,5,20251112,165500,90.145,90.15,90.08714,90.08714,226498,0
TLT.US,5,20251112,170000,90.09,90.12,90.08,90.08,146270,0
TLT.US,5,20251112,170500,90.085,90.12,90.07,90.115,350011,0
TLT.US,5,20251112,171000,90.12,90.14,90.09,90.135,420084,0
TLT.US,5,20251112,171500,90.14,90.145,90.085,90.115,240723,0
TLT.US,5,20251112,172000,90.115,90.17,90.11,90.165,167085,0
TLT.US,5,20251112,172500,90.17,90.17,90.145,90.16,161496,0
TLT.US,5,20251112,173000,90.155,90.19,90.14,90.185,203175,0
TLT.US,5,20251112,173500,90.185,90.21,90.17,90.21,276818,0
TLT.US,5,20251112,174000,90.205,90.275,90.195,90.27,374274,0
TLT.US,5,20251112,174500,90.27,90.3,90.245,90.27,384542,0
TLT.US,5,20251112,175000,90.26,90.26,90.215,90.225,234311,0
TLT.US,5,20251112,175500,90.225,90.27,90.2225,90.27,200672,0
TLT.US,5,20251112,180000,90.27,90.28,90.25267,90.265,117581,0
TLT.US,5,20251112,180500,90.27,90.27,90.24,90.2501,139678,0
TLT.US,5,20251112,181000,90.26,90.26,90.215,90.225,211928,0
