<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQD.US,5,20251208,155500,110.59,110.61,110.57,110.595,536947,0
LQD.US,5,20251208,160000,110.6,110.6,110.545,110.555,371591,0
LQD.US,5,20251208,160500,110.55,110.55,110.5,110.5,494545,0
LQD.US,5,20251208,161000,110.5,110.53,110.495,110.51,280372,0
LQD.US,5,20251208,161500,110.51,110.51,110.44,110.455,620959,0
LQD.US,5,20251208,162000,110.45,110.485,110.435,110.4651,138082,0
LQD.US,5,20251208,162500,110.4645,110.5,110.46,110.47,171476,0
LQD.US,5,20251208,163000,110.47,110.475,110.43,110.45,240222,0
LQD.US,5,20251208,163500,110.45,110.4754,110.44,110.44,261478,0
LQD.US,5,20251208,164000,110.44,110.445,110.41,110.4277,259605,0
LQD.US,5,20251208,164500,110.4266,110.46,110.425,110.45,283610,0
LQD.US,5,20251208,165000,110.45,110.46,110.43,110.455,218899,0
LQD.US,5,20251208,165500,110.455,110.475,110.435,110.435,333732,0
LQD.US,5,20251208,170000,110.43,110.48,110.42,110.4699,241522,0
LQD.US,5,20251208,170500,110.47,110.49,110.47,110.485,75014,0
LQD.US,5,20251208,171000,110.485,110.5,110.48,110.4853,59168,0
LQD.US,5,20251208,171500,110.48,110.53,110.48,110.525,289225,0
LQD.US,5,20251208,172000,110.52,110.53,110.4835,110.4846,574625,0
LQD.US,5,20251208,172500,110.485,110.4999,110.47,110.49,335272,0
LQD.US,5,20251208,173000,110.4899,110.51,110.46,110.505,297546,0
LQD.US,5,20251208,173500,110.505,110.51,110.48,110.485,273036,0
LQD.US,5,20251208,174000,110.485,110.5194,110.4845,110.505,159884,0
LQD.US,5,20251208,174500,110.5001,110.51,110.5,110.505,31329,0
LQD.US,5,20251208,175000,110.505,110.5191,110.49,110.49,136910,0
LQD.US,5,20251208,175500,110.49,110.5,110.48,110.495,311774,0
LQD.US,5,20251208,180000,110.495,110.5074,110.4917,110.4925,111561,0
LQD.US,5,20251208,180500,110.4986,110.5,110.4701,110.475,1481357,0
LQD.US,5,20251208,181000,110.475,110.48,110.46,110.465,421034,0
LQD.US,5,20251208,181500,110.465,110.47,110.455,110.46,288088,0
LQD.US,5,20251208,182000,110.465,110.48,110.46,110.4653,162705,0
LQD.US,5,20251208,182500,110.46,110.48,110.46,110.465,175685,0
LQD.US,5,20251208,183000,110.46,110.47,110.46,110.465,426633,0
LQD.US,5,20251208,183500,110.465,110.47,110.42,110.4378,542831,0
LQD.US,5,20251208,184000,110.43,110.46,110.42,110.45,195129,0
LQD.US,5,20251208,184500,110.455,110.46,110.45,110.45,86450,0
LQD.US,5,20251208,185000,110.45,110.46,110.45,110.455,178387,0
LQD.US,5,20251208,185500,110.455,110.47,110.45,110.4601,176912,0
LQD.US,5,20251208,190000,110.46,110.49,110.445,110.4839,206770,0
LQD.US,5,20251208,190500,110.48,110.5,110.48,110.5,119325,0
LQD.US,5,20251208,191000,110.5,110.52,110.495,110.52,289586,0
LQD.US,5,20251208,191500,110.51,110.54,110.51,110.535,158694,0
LQD.US,5,20251208,192000,110.535,110.54,110.53,110.535,75941,0
